Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-04-23 08:04:14,false,"Louisville Running","6.71","513","00:38:13","150","173","2.6","157","210","5:42","3:08","2","3","1.12","0.0","6,060","No","00:00:14.7","14","00:38:03","00:39:20","139","144"
Running,2026-04-22 12:02:37,false,"Louisville Running","9.46","681","00:45:04","160","185","3.3","166","188","4:46","3:35","22","23","1.26","0.0","7,472","No","00:00:30.2","11","00:44:59","00:47:40","140","150"
Running,2026-04-21 11:56:34,false,"Louisville Running","7.68","563","00:40:14","149","168","2.8","164","186","5:15","3:44","15","15","1.16","0.0","6,600","No","00:03:34.3","8","00:40:10","00:41:52","136","150"
Running,2026-04-20 11:02:01,false,"Clarksville Running","1.68","123","00:10:26","134","156","1.2","126","208","6:13","2:59","0","--","1.25","0.0","1,446","No","00:00:27.5","13","00:09:08.2","00:10:26","137","140"
Running,2026-04-20 10:04:50,false,"Clarksville Running","10.07","723","00:49:29","155","176","3.1","164","184","4:55","4:06","23","24","1.24","0.0","8,082","No","00:02:29.2","11","00:49:26","00:49:29","124","140"
Running,2026-04-19 19:38:35,false,"Louisville Running","9.28","663","00:46:55","146","160","3.0","163","175","5:03","4:12","27","29","1.22","0.0","7,624","No","00:01:27.6","10","00:46:52","00:47:23","140","149"
Running,2026-04-18 09:45:35,false,"Cincinnati Running","11.59","772","00:47:54","166","177","3.7","171","196","4:08","3:21","11","14","1.41","0.0","8,172","No","00:03:43.8","12","00:47:50","00:48:25","143","150"
Running,2026-04-18 09:31:38,false,"Cincinnati Running","1.96","151","00:10:16","158","183","2.0","171","178","5:15","4:29","4","4","1.11","0.0","1,758","No","00:04:36.9","2","00:10:16","00:10:16","144","150"
Running,2026-04-17 10:32:08,false,"Hamilton County Running","5.89","441","00:34:01","141","160","2.3","164","176","5:47","5:04","58","67","1.04","0.0","5,638","No","00:05:06.8","6","00:33:59","00:34:01","247","271"
Running,2026-04-16 19:37:12,false,"Louisville - Base","8.36","612","00:45:01","149","164","2.8","157","218","5:23","2:46","24","24","1.18","0.0","7,200","No","00:02:02.9","9","00:44:00","00:49:45","140","149"
Running,2026-04-15 11:14:21,false,"Louisville Running","13.73","997","01:09:32","150","172","3.4","163","222","5:04","3:27","135","132","1.21","0.0","11,322","No","00:03:24.7","14","01:09:17","01:14:16","133","166"
Running,2026-04-14 10:50:15,false,"Louisville - Base","9.48","660","00:47:04","145","157","3.0","163","176","4:58","4:13","32","29","1.23","0.0","7,644","No","00:02:37.7","10","00:46:59","00:47:36","135","150"
Running,2026-04-13 10:02:10,false,"10k MP","10.48","694","00:41:52","168","176","3.6","176","194","4:00","3:20","30","29","1.42","0.0","7,346","No","00:02:27.6","11","00:41:50","00:42:51","128","137"
Running,2026-04-13 08:27:12,false,"Louisville - Base","18.90","1,337","01:30:02","155","163","3.7","167","182","4:46","4:15","49","51","1.26","0.0","14,980","No","00:00:01.7","20","01:29:57","01:30:02","128","140"
Running,2026-04-12 12:15:23,false,"Louisville - Base","8.67","616","00:46:41","141","155","2.7","167","182","5:23","4:19","10","11","1.11","0.0","7,760","No","00:03:53.3","9","00:46:32","00:48:43","143","155"
Running,2026-04-11 08:00:41,false,"Louisville - Base","13.79","975","01:09:21","152","176","3.4","162","218","5:02","2:40","29","29","1.22","0.0","11,240","No","00:00:33.6","25","01:09:08","01:10:29","139","149"
Running,2026-04-10 10:55:50,false,"Louisville - Recovery","8.05","565","00:44:28","140","171","2.4","160","176","5:32","4:29","29","28","1.13","0.0","7,122","No","00:00:28.7","9","00:44:22","00:45:30","135","150"
Running,2026-04-09 20:10:22,false,"Louisville Running","9.30","659","00:50:47","134","156","2.7","161","182","5:28","4:10","42","43","1.14","0.0","8,162","No","00:01:56.8","10","00:50:45","00:50:47","140","149"
Running,2026-04-09 10:22:23,false,"Louisville - Base","14.64","1,071","01:16:02","152","169","3.5","155","221","5:12","2:41","2","3","1.23","0.0","11,992","No","00:00:14.7","28","01:13:40","01:20:24","139","144"
Running,2026-04-08 14:38:44,false,"Louisville - Base","10.32","723","00:50:19","145","161","3.1","165","182","4:53","4:02","29","29","1.24","0.0","8,278","No","00:02:18.5","11","00:50:13","00:50:33","135","150"
Running,2026-04-06 09:10:33,false,"Cavalry race sim","35.22","2,380","02:25:32","155","168","5.0","173","215","4:08","3:28","195","190","1.40","0.0","25,148","No","00:00:55.9","36","02:25:20","02:25:32","137","163"
Running,2026-04-06 08:51:13,false,"Louisville Running","1.82","129","00:11:07","133","145","1.1","165","174","6:05","5:12","1","5","1.00","0.0","1,842","No","00:04:48.0","2","00:11:00","00:12:31","140","149"
Running,2026-04-05 14:54:51,false,"Louisville - Base","10.43","714","00:50:09","146","159","3.0","164","201","4:49","3:12","28","26","1.27","0.0","8,182","No","00:00:05.9","12","00:50:07","00:51:41","140","149"
Running,2026-04-04 13:54:36,false,"Louisville Running","13.32","919","01:03:19","151","169","3.4","166","234","4:45","3:35","120","118","1.27","0.0","10,468","No","00:01:52.4","14","01:03:11","01:04:52","133","166"
Running,2026-04-03 19:44:45,false,"Louisville Running","5.78","403","00:34:29","130","148","2.1","163","176","5:58","5:10","10","10","1.03","0.0","5,614","No","00:04:36.8","6","00:34:21","00:35:01","143","155"
Running,2026-04-03 11:44:29,false,"Louisville - Recovery","7.89","541","00:44:05","136","145","2.3","160","171","5:35","4:44","23","24","1.12","0.0","7,036","No","00:00:34.5","9","00:43:59","00:45:02","134","150"
Running,2026-04-02 19:41:21,false,"Louisville Running","17.65","1,333","01:34:23","152","169","3.6","163","210","5:21","3:24","45","45","1.15","0.0","15,374","No","00:03:31.9","18","01:33:31","01:36:38","139","149"
Running,2026-04-02 11:17:46,false,"Louisville - Base","13.29","934","01:05:33","151","166","3.4","157","222","4:56","2:37","2","3","1.29","0.0","10,428","No","00:00:15.6","25","01:04:13","01:08:30","139","144"
Running,2026-04-01 08:07:13,false,"Medium Long Run","26.22","1,797","02:02:24","154","175","4.1","167","235","4:40","3:39","109","108","1.28","0.0","20,390","No","00:00:22.5","28","02:01:42","02:14:57","140","182"
Running,2026-03-31 20:03:43,false,"Louisville Running","5.46","372","00:30:31","130","139","2.1","161","177","5:36","4:54","5","5","1.11","0.0","4,910","No","00:02:37.4","6","00:30:30","00:30:52","142","148"
Running,2026-03-31 07:26:16,false,"Louisville - Base","11.57","838","00:57:27","152","162","3.2","163","178","4:58","4:23","45","45","1.23","0.0","9,372","No","00:03:45.7","12","00:57:25","00:57:48","140","149"
Running,2026-03-30 09:52:37,false,"Louisville - Tempo","16.39","1,112","01:12:41","161","178","3.9","166","198","4:26","3:18","66","65","1.35","0.0","12,024","No","00:00:16.2","25","01:11:50","01:14:53","134","155"
Running,2026-03-29 14:11:23,false,"Louisville - Recovery","6.30","451","00:34:59","137","149","2.3","159","169","5:33","4:35","5","1","1.14","0.0","5,544","No","00:00:58.2","8","00:34:50","00:35:34","142","148"
Running,2026-03-28 09:36:08,false,"Louisville Running","10.01","722","00:51:28","146","169","3.0","162","174","5:08","1:21","24","25","1.20","0.0","8,348","No","00:00:03.4","11","00:51:17","00:52:15","139","188"
Treadmill Running,2026-03-27 07:52:51,false,"Treadmill Long run","28.08","1,611","02:15:32","159","173","3.9","167","180","4:50","4:12","--","--","1.24","0.0","22,528","No","00:00:29.4","29","02:15:21","02:18:06","--","--"
Running,2026-03-26 11:30:45,false,"Louisville - Base","14.04","1,012","01:13:04","154","171","3.5","152","224","5:12","2:24","3","3","1.24","0.0","11,216","No","00:00:14.8","26","01:10:26","01:13:52","139","144"
Running,2026-03-25 13:56:07,false,"Louisville - Base","16.12","1,131","01:17:16","155","169","3.6","163","178","4:48","4:09","40","40","1.28","0.0","12,574","No","00:00:43.8","17","01:17:10","01:17:16","120","140"
Running,2026-03-24 11:38:36,false,"CD","4.34","310","00:27:05","133","147","1.9","162","176","6:15","5:16","35","37","0.99","0.0","4,400","No","00:02:01.1","5","00:26:40","00:29:39","134","163"
Running,2026-03-24 10:49:55,false,"3x 3k","10.33","684","00:41:30","163","179","3.7","164","203","4:01","2:53","55","57","1.51","0.0","6,862","No","00:00:07.3","17","00:40:26","00:41:30","140","149"
Running,2026-03-24 10:16:18,false,"WU","4.32","350","00:25:18","150","166","2.4","157","181","5:52","4:22","38","37","1.08","0.0","4,030","No","00:03:34.4","5","00:24:39","00:27:21","133","162"
Running,2026-03-23 11:05:03,false,"Louisville Running","10.80","786","00:55:42","151","164","3.1","162","176","5:10","4:30","36","35","1.19","0.0","9,014","No","00:04:38.9","11","00:55:38","00:56:00","134","150"
Running,2026-03-22 13:55:44,false,"Louisville - Recovery","7.00","527","00:40:17","145","161","2.4","156","166","5:45","4:45","23","23","1.11","0.0","6,258","No","00:00:21.3","8","00:40:15","00:40:17","140","149"
Running,2026-03-21 08:34:01,false,"Louisville Running","4.37","376","00:27:07","160","178","2.5","163","180","6:12","5:09","82","80","0.99","0.0","4,416","No","00:02:16.1","5","00:26:53","00:28:48","98","144"
Running,2026-03-21 07:30:02,false,"Derby city 10k (official time - 35:35)","10.12","628","00:35:41","173","182","4.0","176","208","3:32","2:53","11","14","1.61","0.0","6,246","No","00:00:25.1","11","00:35:37","00:35:41","132","143"
Running,2026-03-21 06:53:46,false,"Louisville Running","1.76","163","00:14:12","121","153","2.0","101","229","8:03","2:32","4","3","1.21","0.0","1,524","No","00:00:15.2","14","00:12:46","00:14:12","138","143"
Running,2026-03-21 06:16:22,false,"Louisville Running","4.43","343","00:23:13","155","175","2.6","163","176","5:15","4:30","25","27","1.17","0.0","3,780","No","00:02:13.9","5","00:23:10","00:23:13","137","163"
Running,2026-03-20 10:45:44,false,"Louisville Running","1.40","98","00:09:25.5","129","147","0.8","131","229","6:45","2:39","3","2","1.11","0.0","1,270","No","00:00:13.6","13","00:09:18.5","00:09:25.5","143","146"
Running,2026-03-20 10:16:46,false,"Louisville Running","4.37","357","00:24:59","154","172","2.6","159","171","5:43","5:02","21","19","1.10","0.0","3,988","No","00:02:01.3","5","00:24:47","00:25:39","126","144"
